20000	-6	2000	7	139.35
20000	-6	2200	7	152.01
20000	-6	2400	7	161.76
20000	-6	2600	7	168.99
20000	-6	2800	8	174.41
20000	-6	3000	8	178.53
20000	-6	3200	8	181.41
20000	-5	2000	7	144.47
20000	-5	2200	7	157.38
20000	-5	2400	7	167.48
20000	-5	2600	7	175
20000	-5	2800	7	180.49
20000	-5	3000	8	184.71
20000	-5	3200	8	187.78
20000	-4	2000	6	149.57
20000	-4	2200	7	162.63
20000	-4	2400	7	173.05
20000	-4	2600	7	180.9
20000	-4	2800	7	186.69
20000	-4	3000	7	190.81
20000	-4	3200	8	194.04
20000	-3	2000	6	155.04
20000	-3	2200	7	167.8
20000	-3	2400	7	178.59
20000	-3	2600	4	204.19
20000	-3	2800	7	192.98
20000	-3	3000	7	197.38
20000	-3	3200	7	200.5
20000	-2	2000	6	160.42
20000	-2	2200	6	173.33
20000	-2	2400	7	183.92
20000	-2	2600	7	192.66
20000	-2	2800	7	199.19
20000	-2	3000	7	203.92
20000	-2	3200	7	207.31
20000	-1	2000	6	165.78
20000	-1	2200	6	179.11
20000	-1	2400	6	189.86
20000	-1	2600	7	198.15
20000	-1	2800	7	205.1
20000	-1	3000	7	210.18
20000	-1	3200	7	213.82
22500	-6	2000	8	145.04
22500	-6	2200	8	157.3
22500	-6	2400	9	167.46
22500	-6	2600	9	175.78
22500	-6	2800	9	182.02
22500	-6	3000	10	186.76
22500	-6	3200	10	190.35
22500	-5	2000	8	150.63
22500	-5	2200	8	163.18
22500	-5	2400	9	173.38
22500	-5	2600	9	182.15
22500	-5	2800	9	188.85
22500	-5	3000	9	193.7
22500	-5	3200	10	197.48
22500	-4	2000	8	156.14
22500	-4	2200	8	169.14
22500	-4	2400	8	179.76
22500	-4	2600	9	188.53
22500	-4	2800	9	195.58
22500	-4	3000	9	200.84
22500	-4	3200	9	204.58
22500	-3	2000	8	161.61
22500	-3	2200	8	175.08
22500	-3	2400	8	186.15
22500	-3	2600	8	194.97
22500	-3	2800	9	202.32
22500	-3	3000	9	207.96
22500	-3	3200	9	212.05
22500	-2	2000	8	166.8
22500	-2	2200	8	180.77
22500	-2	2400	8	192.44
22500	-2	2600	8	201.84
22500	-2	2800	8	209.14
22500	-2	3000	9	214.99
22500	-2	3200	9	219.52
22500	-1	2000	7	172.56
22500	-1	2200	8	186.27
22500	-1	2400	8	198.5
22500	-1	2600	8	208.45
22500	-1	2800	8	216.28
22500	-1	3000	8	222.2
22500	-1	3200	9	226.76
25000	-6	2000	10	149.13
25000	-6	2200	10	161.96
25000	-6	2400	10	172.59
25000	-6	2600	11	181.5
25000	-6	2800	11	188.71
25000	-6	3000	12	194.18
25000	-6	3200	12	198.5
25000	-5	2000	10	155.08
25000	-5	2200	10	168.25
25000	-5	2400	10	179.38
25000	-5	2600	11	188.51
25000	-5	2800	11	196.18
25000	-5	3000	11	202.02
25000	-5	3200	12	206.51
25000	-4	2000	9	161.16
25000	-4	2200	10	174.53
25000	-4	2400	10	186.2
25000	-4	2600	10	195.72
